"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\backupService.js", "JavaScript", 186, 3, 21, 210
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\collectionQueue.js", "JavaScript", 46, 7, 9, 62
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\collectionScanner.js", "JavaScript", 214, 36, 45, 295
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\collectionScanner_db.js", "JavaScript", 229, 21, 43, 293
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\configHelper.js", "JavaScript", 88, 3, 14, 105
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\coverGenerator.js", "JavaScript", 62, 14, 15, 91
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\dataAccess.js", "JavaScript", 95, 6, 10, 111
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\db.js", "JavaScript", 7, 1, 5, 13
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\gcodeService.js", "JavaScript", 100, 17, 25, 142
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\genaiAdapter.js", "JavaScript", 161, 26, 32, 219
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\legacyAudit.js", "JavaScript", 80, 12, 14, 106
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\legacyFinder.js", "JavaScript", 26, 0, 3, 29
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\legacyScanner.js", "JavaScript", 55, 0, 4, 59
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\modelService.js", "JavaScript", 328, 5, 48, 381
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\modelUtils.js", "JavaScript", 42, 1, 3, 46
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\routeSelector.js", "JavaScript", 101, 0, 8, 109
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server-utils\sharedQueue.js", "JavaScript", 6, 1, 3, 10
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\controllers\legacy\backupController.js", "JavaScript", -53, -5, -13, -71
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\controllers\legacy\maintenanceController.js", "JavaScript", -113, -8, -18, -139
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\controllers\legacy\modelController.js", "JavaScript", -128, -19, -20, -167
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\controllers\legacy\mutationController.js", "JavaScript", -57, -1, -12, -70
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\admin.js", "JavaScript", -578, -71, -111, -760
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\collections.js", "JavaScript", -663, -36, -122, -821
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\collections_db.js", "JavaScript", -67, -10, -9, -86
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\config.js", "JavaScript", -66, -5, -7, -78
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\imports.js", "JavaScript", -399, -62, -72, -533
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\integrations.js", "JavaScript", -54, -10, -13, -77
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\legacy\models.js", "JavaScript", -293, -54, -73, -420
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\models_db.js", "JavaScript", -229, -39, -47, -315
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\system.js", "JavaScript", -253, -13, -46, -312
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\tags.js", "JavaScript", -51, -3, -9, -63
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\server\routes\tags_db.js", "JavaScript", -49, -4, -7, -60
