"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\AutoImportDialog.tsx", "TypeScript JSX", 202, 0, 6, 17, 225
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\BulkEditDrawer.tsx", "TypeScript JSX", 397, 0, 5, 35, 437
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionCard.tsx", "TypeScript JSX", 183, 0, 3, 14, 200
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionEditDrawer.tsx", "TypeScript JSX", 840, 0, 42, 82, 964
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionEditorDialog.tsx", "TypeScript JSX", 606, 0, 50, 68, 724
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionGrid.tsx", "TypeScript JSX", 739, 0, 50, 70, 859
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionListRow.tsx", "TypeScript JSX", 151, 0, 0, 15, 166
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DemoPage.tsx", "TypeScript JSX", 543, 0, 12, 30, 585
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DescriptionSection.tsx", "TypeScript JSX", 167, 0, 6, 10, 183
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DescriptionSection_DB.tsx", "TypeScript JSX", 168, 0, 6, 10, 184
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DonationDialog.tsx", "TypeScript JSX", 149, 0, 27, 16, 192
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ErrorBoundary.tsx", "TypeScript JSX", 134, 0, 3, 13, 150
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\FilterSidebar.tsx", "TypeScript JSX", 601, 0, 18, 51, 670
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\GcodeSection.tsx", "TypeScript JSX", 169, 0, 6, 10, 185
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\GlobalDialogs.tsx", "TypeScript JSX", 177, 0, 9, 14, 200
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\Grid3DViewer.tsx", "TypeScript JSX", 151, 0, 11, 32, 194
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ImageWithFallback.tsx", "TypeScript JSX", 33, 0, 1, 7, 41
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\LayoutControls.tsx", "TypeScript JSX", 53, 0, 2, 4, 59
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\LayoutSettingsContext.tsx", "TypeScript JSX", 60, 0, 3, 11, 74
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\MetadataSection.tsx", "TypeScript JSX", 276, 0, 2, 15, 293
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelCard.tsx", "TypeScript JSX", 150, 0, 12, 19, 181
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelGrid.tsx", "TypeScript JSX", 570, 0, 24, 41, 635
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelHubView.tsx", "TypeScript JSX", 646, 0, 42, 72, 760
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelHubView_DB.tsx", "TypeScript JSX", 619, 0, 37, 66, 722
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelMesh.tsx", "TypeScript JSX", 87, 0, 20, 10, 117
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelPreviewSection.tsx", "TypeScript JSX", 264, 0, 9, 17, 290
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelUploadDialog.tsx", "TypeScript JSX", 432, 0, 22, 57, 511
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelViewer3D.tsx", "TypeScript JSX", 273, 0, 35, 28, 336
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\NotesSection.tsx", "TypeScript JSX", 156, 0, 6, 16, 178
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\NotesSection_DB.tsx", "TypeScript JSX", 158, 0, 6, 16, 180
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\PrintSettingsSection.tsx", "TypeScript JSX", 168, 0, 14, 19, 201
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\PrinterStatusHub.tsx", "TypeScript JSX", 96, 0, 11, 17, 124
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ProjectFolderDialog.tsx", "TypeScript JSX", 97, 0, 1, 9, 107
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ProjectView.tsx", "TypeScript JSX", 318, 0, 16, 25, 359
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\RelatedFilesSection.tsx", "TypeScript JSX", 421, 0, 30, 51, 502
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SelectionModeControls.tsx", "TypeScript JSX", 143, 0, 0, 11, 154
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SettingsPage.tsx", "TypeScript JSX", 360, 0, 16, 34, 410
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SharedModelScene.tsx", "TypeScript JSX", 57, 0, 9, 9, 75
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SiblingsSection.tsx", "TypeScript JSX", 57, 0, 3, 7, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SourceSection.tsx", "TypeScript JSX", 63, 0, 0, 2, 65
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\SpoolmanWidget.tsx", "TypeScript JSX", 196, 0, 25, 31, 252
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\TagsContext.tsx", "TypeScript JSX", 37, 0, 2, 9, 48
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\TagsInput.tsx", "TypeScript JSX", 260, 0, 16, 31, 307
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\TagsSection.tsx", "TypeScript JSX", 79, 0, 0, 4, 83
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ThemeProvider.tsx", "TypeScript JSX", 138, 0, 6, 24, 168
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ThemeToggle.tsx", "TypeScript JSX", 70, 0, 3, 7, 80
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ThingiverseImportDialog.tsx", "TypeScript JSX", 233, 0, 9, 27, 269
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\admin\MigrationStatus.tsx", "TypeScript JSX", 150, 0, 0, 17, 167
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\bulk-edit\BulkEditSection.tsx", "TypeScript JSX", 48, 0, 0, 4, 52
