"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\App.tsx", "TypeScript JSX", 0, 0, 664, 0, 0, 44, 81, 789
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\Attributions.md", "Markdown", 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\queryClient.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\collectionService.ts", "TypeScript", 27, 0, 0, 0, 0, 1, 6, 34
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\fileService.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\modelService.ts", "TypeScript", 57, 0, 0, 0, 0, 1, 9, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\tagService.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\config\default-config.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 25
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\constants\labels.ts", "TypeScript", 29, 0, 0, 0, 0, 2, 4, 35
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\constants\licenses.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 3, 22
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\context\ConfigContext.tsx", "TypeScript JSX", 0, 0, 152, 0, 0, 32, 27, 211
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\context\NavigationContext.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 10, 21, 120
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\context\SpoolmanContext.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 1, 9, 66
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\bulk\useBulkEditForm.ts", "TypeScript", 234, 0, 0, 0, 0, 11, 23, 268
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\bulk\useBulkOperations.ts", "TypeScript", 179, 0, 0, 0, 0, 26, 26, 231
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useDocumentUpload.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useGcodeHandler.ts", "TypeScript", 216, 0, 0, 0, 0, 15, 35, 266
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useModelEdit.ts", "TypeScript", 488, 0, 0, 0, 0, 26, 73, 587
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useModelGallery.ts", "TypeScript", 164, 0, 0, 0, 0, 12, 28, 204
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useRelatedFiles.ts", "TypeScript", 61, 0, 0, 0, 0, 10, 7, 78
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\hub\useSiblings.ts", "TypeScript", 45, 0, 0, 0, 0, 2, 13, 60
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\mutations\useBulkEditModels.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\mutations\useCreateCollection.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\mutations\useDeleteModel.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\mutations\useUpdateCollection.ts", "TypeScript", 31, 0, 0, 0, 0, 1, 5, 37
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\mutations\useUpdateModel.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useCollections.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 5, 30
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useFiles.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useModel.ts", "TypeScript", 26, 0, 0, 0, 0, 1, 5, 32
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useModels.ts", "TypeScript", 21, 0, 0, 0, 0, 4, 6, 31
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useModelsPaginated.ts", "TypeScript", 62, 0, 0, 0, 0, 6, 10, 78
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\queries\useTags.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useBackups.ts", "TypeScript", 137, 0, 0, 0, 0, 10, 28, 175
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useCategoryManager.ts", "TypeScript", 315, 0, 0, 0, 0, 11, 51, 377
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useIntegrityCheck.ts", "TypeScript", 437, 0, 0, 0, 0, 13, 61, 511
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useSettingsConfig.ts", "TypeScript", 123, 0, 0, 0, 0, 9, 19, 151
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useTagManager.ts", "TypeScript", 154, 0, 0, 0, 0, 3, 22, 179
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useCollectionMutations.ts", "TypeScript", 117, 0, 0, 0, 0, 7, 21, 145
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useCollectionsQuery.ts", "TypeScript", 33, 0, 0, 0, 0, 2, 7, 42
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useDialog.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useFilteredModels.ts", "TypeScript", 208, 0, 0, 0, 0, 31, 34, 273
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useGlobalDialogs.ts", "TypeScript", 152, 0, 0, 0, 0, 13, 29, 194
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelActions.ts", "TypeScript", 150, 0, 0, 0, 0, 7, 22, 179
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelData.ts", "TypeScript", 45, 0, 0, 0, 0, 1, 8, 54
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations.ts", "TypeScript", 16, 0, 0, 0, 0, 7, 4, 27
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations_DB.ts", "TypeScript", 125, 0, 0, 0, 0, 12, 23, 160
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations_Legacy.ts", "TypeScript", 108, 0, 0, 0, 0, 9, 12, 129
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelsQuery.ts", "TypeScript", 51, 0, 0, 0, 0, 6, 10, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useSelectionMode.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 12, 93
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useTagsQuery.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 5, 35
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\main.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\styles\globals.css", "CSS", 0, 187, 0, 0, 0, 0, 18, 205
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\tests\download.test.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 7, 17, 103
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\tests\utils.test.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\category.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection.ts", "TypeScript", 28, 0, 0, 0, 0, 4, 5, 37
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection_db.ts", "TypeScript", 56, 0, 0, 0, 0, 1, 8, 65
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\config.ts", "TypeScript", 66, 0, 0, 0, 0, 2, 4, 72
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\index_db.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model.ts", "TypeScript", 90, 0, 0, 0, 0, 17, 6, 113
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model_db.ts", "TypeScript", 133, 0, 0, 0, 0, 8, 17, 158
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\three-elements.d.ts", "TypeScript", 19, 0, 0, 0, 0, 2, 1, 22
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\view.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\ProjectService.ts", "TypeScript", 241, 0, 0, 0, 0, 37, 48, 326
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\clientUtils.ts", "TypeScript", 89, 0, 0, 0, 0, 2, 17, 108
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\configManager.ts", "TypeScript", 336, 0, 0, 0, 0, 17, 39, 392
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\dbAdapter.ts", "TypeScript", 126, 0, 0, 0, 0, 15, 22, 163
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\downloadUtils.ts", "TypeScript", 144, 0, 0, 0, 0, 13, 21, 178
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\fileManager.ts", "TypeScript", 205, 0, 0, 0, 0, 17, 25, 247
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\filterUtils.ts", "TypeScript", 76, 0, 0, 0, 0, 14, 18, 108
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\galleryUtils.ts", "TypeScript", 62, 0, 0, 0, 0, 3, 14, 79
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\gcodeParser.ts", "TypeScript", 213, 0, 0, 0, 0, 8, 31, 252
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\imageUtils.ts", "TypeScript", 65, 0, 0, 0, 0, 13, 12, 90
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\labels.ts", "TypeScript", 29, 0, 0, 0, 0, 2, 4, 35
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\modelFactory.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 2, 51
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\munchiePath.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 1, 6
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.tsx", "TypeScript JSX", 0, 0, 125, 0, 0, 5, 11, 141
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\sortUtils.ts", "TypeScript", 53, 0, 0, 0, 0, 1, 5, 59
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\themeUtils.ts", "TypeScript", 113, 0, 0, 0, 0, 12, 19, 144
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thingiverseImporter.ts", "TypeScript", 101, 0, 0, 0, 0, 15, 24, 140
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeJSManager.ts", "TypeScript", 83, 0, 0, 0, 0, 11, 15, 109
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeMFToJson.ts", "TypeScript", 341, 0, 0, 0, 0, 48, 66, 455
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailGenerator.ts", "TypeScript", 55, 0, 0, 0, 0, 23, 21, 99
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailUtils.ts", "TypeScript", 39, 0, 0, 0, 0, 6, 7, 52
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\useSafeThreeMFLoader.ts", "TypeScript", 70, 0, 0, 0, 0, 8, 14, 92
"Total", "-", 7108, 187, 1177, 3, 25, 666, 1332, 10498
