Date : 2026-02-11 16:08:11
Directory : c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src
Total : 201 files,  29467 codes, 1559 comments, 3388 blanks, all 34414 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        120 |     22,122 |        993 |      2,217 |     25,332 |
| TypeScript     |         78 |      7,130 |        566 |      1,150 |      8,846 |
| CSS            |          1 |        187 |          0 |         18 |        205 |
| JSON           |          1 |         25 |          0 |          0 |         25 |
| Markdown       |          1 |          3 |          0 |          3 |          6 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        201 |     29,467 |      1,559 |      3,388 |     34,414 |
| . (Files)                                                                                                             |          3 |        679 |         45 |         86 |        810 |
| api                                                                                                                   |          5 |        140 |          2 |         25 |        167 |
| api (Files)                                                                                                           |          1 |         14 |          0 |          2 |         16 |
| api\services                                                                                                          |          4 |        126 |          2 |         23 |        151 |
| components                                                                                                            |        115 |     20,967 |        893 |      2,056 |     23,916 |
| components (Files)                                                                                                    |         47 |     11,947 |        636 |      1,183 |     13,766 |
| components\admin                                                                                                      |          1 |        150 |          0 |         17 |        167 |
| components\bulk-edit                                                                                                  |          3 |        186 |          4 |         17 |        207 |
| components\settings                                                                                                   |          9 |      3,417 |        205 |        276 |      3,898 |
| components\shared                                                                                                     |          2 |        104 |          3 |         10 |        117 |
| components\ui                                                                                                         |         48 |      4,695 |         28 |        520 |      5,243 |
| components\views                                                                                                      |          5 |        468 |         17 |         33 |        518 |
| config                                                                                                                |          1 |         25 |          0 |          0 |         25 |
| constants                                                                                                             |          2 |         46 |          4 |          7 |         57 |
| context                                                                                                               |          3 |        297 |         43 |         57 |        397 |
| hooks                                                                                                                 |         37 |      3,972 |        259 |        631 |      4,862 |
| hooks (Files)                                                                                                         |         13 |      1,133 |         96 |        191 |      1,420 |
| hooks\bulk                                                                                                            |          2 |        413 |         37 |         49 |        499 |
| hooks\hub                                                                                                             |          6 |      1,001 |         65 |        162 |      1,228 |
| hooks\mutations                                                                                                       |          5 |        109 |          2 |         18 |        129 |
| hooks\queries                                                                                                         |          6 |        150 |         13 |         30 |        193 |
| hooks\settings                                                                                                        |          5 |      1,166 |         46 |        181 |      1,393 |
| styles                                                                                                                |          1 |        187 |          0 |         18 |        205 |
| tests                                                                                                                 |          2 |         97 |          7 |         20 |        124 |
| types                                                                                                                 |          9 |        405 |         34 |         45 |        484 |
| utils                                                                                                                 |         23 |      2,652 |        272 |        443 |      3,367 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                              | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\App.tsx                                         | TypeScript JSX |        664 |         44 |         81 |        789 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\Attributions.md                                 | Markdown       |          3 |          0 |          3 |          6 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\queryClient.ts                              | TypeScript     |         14 |          0 |          2 |         16 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\collectionService.ts               | TypeScript     |         27 |          1 |          6 |         34 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\fileService.ts                     | TypeScript     |         26 |          0 |          4 |         30 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\modelService.ts                    | TypeScript     |         57 |          1 |          9 |         67 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\api\services\tagService.ts                      | TypeScript     |         16 |          0 |          4 |         20 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\AutoImportDialog.tsx                 | TypeScript JSX |        202 |          6 |         17 |        225 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\BulkEditDrawer.tsx                   | TypeScript JSX |        397 |          5 |         35 |        437 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionCard.tsx                   | TypeScript JSX |        183 |          3 |         14 |        200 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionEditDrawer.tsx             | TypeScript JSX |        840 |         42 |         82 |        964 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionEditorDialog.tsx           | TypeScript JSX |        606 |         50 |         68 |        724 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionGrid.tsx                   | TypeScript JSX |        739 |         50 |         70 |        859 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\CollectionListRow.tsx                | TypeScript JSX |        151 |          0 |         15 |        166 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DemoPage.tsx                         | TypeScript JSX |        543 |         12 |         30 |        585 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DescriptionSection.tsx               | TypeScript JSX |        167 |          6 |         10 |        183 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DescriptionSection_DB.tsx            | TypeScript JSX |        168 |          6 |         10 |        184 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\DonationDialog.tsx                   | TypeScript JSX |        149 |         27 |         16 |        192 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ErrorBoundary.tsx                    | TypeScript JSX |        134 |          3 |         13 |        150 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\FilterSidebar.tsx                    | TypeScript JSX |        601 |         18 |         51 |        670 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\GcodeSection.tsx                     | TypeScript JSX |        169 |          6 |         10 |        185 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\GlobalDialogs.tsx                    | TypeScript JSX |        177 |          9 |         14 |        200 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\Grid3DViewer.tsx                     | TypeScript JSX |        151 |         11 |         32 |        194 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ImageWithFallback.tsx                | TypeScript JSX |         33 |          1 |          7 |         41 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\LayoutControls.tsx                   | TypeScript JSX |         53 |          2 |          4 |         59 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\LayoutSettingsContext.tsx            | TypeScript JSX |         60 |          3 |         11 |         74 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\MetadataSection.tsx                  | TypeScript JSX |        276 |          2 |         15 |        293 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelCard.tsx                        | TypeScript JSX |        150 |         12 |         19 |        181 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelGrid.tsx                        | TypeScript JSX |        570 |         24 |         41 |        635 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelHubView.tsx                     | TypeScript JSX |        646 |         42 |         72 |        760 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ModelHubView_DB.tsx                  | TypeScript JSX |        619 |         37 |         66 |        722 |
