"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\category.ts", "TypeScript", -5, 0, 0, 0, -5
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection.ts", "TypeScript", -28, 0, -4, -5, -37
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection_db.ts", "TypeScript", -56, 0, -1, -8, -65
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\config.ts", "TypeScript", -66, 0, -2, -4, -72
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\index_db.ts", "TypeScript", -7, 0, 0, -3, -10
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model.ts", "TypeScript", -90, 0, -17, -6, -113
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model_db.ts", "TypeScript", -133, 0, -8, -17, -158
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\three-elements.d.ts", "TypeScript", -19, 0, -2, -1, -22
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\view.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\ProjectService.ts", "TypeScript", 241, 0, 37, 48, 326
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\clientUtils.ts", "TypeScript", 89, 0, 2, 17, 108
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\configManager.ts", "TypeScript", 336, 0, 17, 39, 392
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\dbAdapter.ts", "TypeScript", 126, 0, 15, 22, 163
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\downloadUtils.ts", "TypeScript", 144, 0, 13, 21, 178
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\fileManager.ts", "TypeScript", 205, 0, 17, 25, 247
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\filterUtils.ts", "TypeScript", 76, 0, 14, 18, 108
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\galleryUtils.ts", "TypeScript", 62, 0, 3, 14, 79
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\gcodeParser.ts", "TypeScript", 213, 0, 8, 31, 252
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\imageUtils.ts", "TypeScript", 65, 0, 13, 12, 90
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\labels.ts", "TypeScript", 29, 0, 2, 4, 35
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\modelFactory.ts", "TypeScript", 49, 0, 0, 2, 51
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\munchiePath.ts", "TypeScript", 34, 0, 0, 7, 41
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.ts", "TypeScript", 3, 0, 2, 1, 6
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.tsx", "TypeScript JSX", 0, 125, 5, 11, 141
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\sortUtils.ts", "TypeScript", 53, 0, 1, 5, 59
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\themeUtils.ts", "TypeScript", 113, 0, 12, 19, 144
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thingiverseImporter.ts", "TypeScript", 101, 0, 15, 24, 140
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeJSManager.ts", "TypeScript", 83, 0, 11, 15, 109
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeMFToJson.ts", "TypeScript", 341, 0, 48, 66, 455
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailGenerator.ts", "TypeScript", 55, 0, 23, 21, 99
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailUtils.ts", "TypeScript", 39, 0, 6, 7, 52
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\useSafeThreeMFLoader.ts", "TypeScript", 70, 0, 8, 14, 92
"Total", "-", 2122, 125, 238, 398, 2883
